{{Mod
|id                               = FlaskCurseImmunity1
|mod_groups                       = FlaskCurseImmunity
|domain                           = 2
|generation_type                  = 2
|required_level                   = 18
|name                             = of Warding
|mod_type                         = FlaskCurseImmunity
|stat_text                        = Removes [[Curse|Curses]] on use
|stat1_id                         = local_flask_remove_curses_on_use
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 3000
|tags                             = flask, caster, curse
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
