{{Mod
|id                               = ReducedManaReservationCostUnique__1
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ReducedAllReservationLegacy
|stat_text                        = 12% increased Reservation Efficiency of [[Skill|Skills]]
|stat1_id                         = reservation_efficiency_-2%_per_1
|stat1_min                        = -6
|stat1_max                        = -6
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
